tipe_wilayah,n_sampel_rt,estimasi_populasi_rt,rerata_pengeluaran_kapita,pangsa_pangan_persen,pct_rt_pangsa_pangan_gt60,rerata_kalori_kapita,pct_rt_defisit_kalori,rerata_protein_kapita,pct_rt_defisit_protein,prevalensi_fies_persen,cakupan_bpnt_persen
Perkotaan,16953,10779394,1802062,46.64,37.94,2173.3,51.86,66.1,39.39,20.65,19.64
Perdesaan,8937,3028932,1240246,59.51,62.6,2316.1,42.18,68.5,36.18,21.82,32.57
